epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
126,15131.7,1.61588,1.65324,0.0101,0.53857,0.38602,0.38291,0.24037,1.63706,1.35868,0.00476,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,15251.2,1.61429,1.64544,0.00991,0.552,0.38108,0.38409,0.24086,1.63638,1.35656,0.00476,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,15370.7,1.61462,1.62629,0.00987,0.54652,0.3855,0.38453,0.2415,1.63523,1.35489,0.00475,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,15490.3,1.60045,1.62764,0.00984,0.54521,0.38533,0.3852,0.24216,1.63404,1.35385,0.00475,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,15609.5,1.57387,1.61817,0.01,0.53064,0.39049,0.38572,0.24252,1.63401,1.3515,0.00475,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,15728.8,1.60339,1.63888,0.00994,0.52828,0.39087,0.3861,0.24264,1.63301,1.34924,0.00474,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,15848.3,1.58367,1.61963,0.01001,0.53866,0.38982,0.38631,0.24271,1.6319,1.3484,0.00474,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,15967.9,1.5805,1.59873,0.00992,0.53847,0.3905,0.3873,0.24328,1.63095,1.34724,0.00474,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,16087.4,1.58386,1.62167,0.00989,0.53851,0.39057,0.38837,0.24428,1.62946,1.34561,0.00473,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,16206.9,1.57625,1.61364,0.00984,0.58106,0.3794,0.38965,0.24549,1.62825,1.3433,0.00472,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,16326.6,1.58903,1.62725,0.00984,0.58072,0.37972,0.39045,0.24601,1.62803,1.34073,0.00472,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
