epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,6170.62,1.77935,2.00366,0.01138,0.6807,0.25186,0.28674,0.16524,1.82422,1.60532,0.00561,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,6251.62,1.74923,1.99144,0.01157,0.67512,0.25587,0.28883,0.16679,1.82202,1.60301,0.00559,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,6333.86,1.7688,1.9925,0.01142,0.66234,0.2602,0.29044,0.16806,1.81997,1.59779,0.00558,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,6416.09,1.76267,1.99532,0.01154,0.65353,0.2646,0.29084,0.16849,1.81951,1.59536,0.00557,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6497.47,1.75862,1.99419,0.01142,0.64545,0.26552,0.29305,0.16915,1.81741,1.59057,0.00556,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6577.57,1.75658,1.99055,0.0114,0.64931,0.26548,0.29547,0.17115,1.81688,1.5881,0.00556,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,6659.47,1.75279,1.95937,0.01119,0.63227,0.27281,0.29686,0.17188,1.81699,1.58891,0.00556,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,6743.18,1.75054,1.97499,0.01125,0.63046,0.27192,0.29742,0.17248,1.81386,1.58728,0.00554,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,6823.4,1.75153,1.97824,0.01162,0.62562,0.27278,0.29871,0.17372,1.81033,1.58394,0.00552,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,6904.19,1.7611,1.93709,0.01117,0.622,0.2746,0.29906,0.17347,1.81168,1.58122,0.00552,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,6985.23,1.74273,1.96813,0.01152,0.63387,0.26954,0.29945,0.17398,1.81038,1.57885,0.00551,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,7063.51,1.75609,1.96198,0.01125,0.64957,0.26986,0.30016,0.17443,1.80924,1.57808,0.0055,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,7145.44,1.74774,1.94251,0.01134,0.65238,0.27291,0.30162,0.17513,1.80923,1.57559,0.0055,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,7226.12,1.72651,1.92361,0.01142,0.65532,0.27421,0.30277,0.1761,1.80645,1.57394,0.00549,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,7307.24,1.75367,1.94354,0.0113,0.64955,0.27362,0.30401,0.17733,1.80493,1.57264,0.00548,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,7387.45,1.73247,1.9419,0.01128,0.65435,0.27106,0.30563,0.1781,1.80392,1.57067,0.00548,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
