epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,8167.51,1.68758,1.83581,0.01072,0.54185,0.35226,0.3461,0.21048,1.71631,1.46545,0.0051,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,8274.01,1.68261,1.8426,0.01088,0.56212,0.34413,0.34809,0.21128,1.71465,1.46341,0.00509,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,8380.21,1.68142,1.85154,0.01081,0.57681,0.34411,0.3515,0.21377,1.71029,1.45971,0.00508,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,8483.84,1.68042,1.83674,0.01074,0.57755,0.3441,0.35119,0.21428,1.70809,1.45788,0.00506,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,8589.6,1.6754,1.8098,0.01055,0.58959,0.34153,0.35212,0.21498,1.70374,1.45508,0.00505,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,8696.51,1.68439,1.8243,0.01068,0.5953,0.34225,0.35399,0.21656,1.70046,1.4475,0.00504,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,8801.72,1.6754,1.82973,0.011,0.59829,0.3411,0.35629,0.21803,1.69859,1.44285,0.00503,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,8905.98,1.68352,1.79456,0.01054,0.60272,0.34166,0.35538,0.21789,1.69757,1.43927,0.00502,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,9011.12,1.66339,1.8029,0.01082,0.59901,0.34537,0.35712,0.21901,1.69653,1.43566,0.00502,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,9115.89,1.67201,1.80333,0.01057,0.58992,0.34677,0.35842,0.21944,1.69412,1.43152,0.00501,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
